,OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2,mph,idd,DS1,DS2,DS3,DS4,dmg
28,128601,77.38851083,34.7837914,2006,Aluminum/Vinyl,49089,104930,Residential,1990,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1852.507627,5684.601406,132.64614352719954,49089,0.866293568624098,0.5336177699682774,0.2168090496084641,0.20004022913699004,2
29,46996,77.55836516,34.79533012,2016,Aluminum/Vinyl,74828,139990,Residential,2009,1,Single Family,Aluminum/Vinyl,Building New,A58,2104.132317,25531.24363,125.970057729132,74828,0.7762834220115264,0.2912569915978911,0.10425849075948018,0.10222458187531724,2
30,101892,77.51469919,34.73488265,2006,Hard Board (Hardy board or pla,1140,81250,Building Site,1956,1,Single Family,Hard Board (Hardy board or pla,Building Existing,A10,1967.358279,21557.98057,131.7545562443309,1140,0.8556248298154393,0.5112348218272675,0.19753532556551334,0.18467821201573115,1
31,26530,77.60296046,34.68463713,2016,Aluminum/Vinyl,6087,366230,Building Site,2010,1,Single Family,Aluminum/Vinyl,Building New,A58,812.0040644,297585.2695,132.59748560445792,6087,0.869905228916356,0.45127765346493776,0.21431806161112266,0.19997934608209988,1
32,48478,77.45265105,34.80399267,2016,Asbestos Shingle,13586,86350,Residential,1971,1,Single Family,Asbestos Shingle,Building New,A14,171.8136498,10587.63626,129.1248076542509,13586,0.7513388015672195,0.2757496688222455,0.058042793295783005,0.030563007863611717,2
33,47318,77.44303436,34.79637357,2016,Aluminum/Vinyl,66645,244180,Residential,2006,2,Single Family,Aluminum/Vinyl,Building New,A26,2213.832832,24903.19335,129.99421076266734,66645,0.9525611316251835,0.7880436628374629,0.5227749668572242,0.4171190265996692,2
34,52674,77.40852053,34.82516549,2016,Aluminum/Vinyl,153439,151260,Residential,2011,1,Single Family,Aluminum/Vinyl,Building New,A58,2080.690097,8040.157408,128.93492024582673,153439,0.8227430837185239,0.36097516107630767,0.14774194997614248,0.14116174603063547,0
35,46601,77.42294024,34.79115298,2016,Board and Batten,15263,115820,Residential,1978,1,Single Family,Board and Batten,Building New,A10,316.8669222,14524.05688,131.0268244093223,15263,0.8464449901153362,0.49282317898754985,0.18250901906239742,0.1726268911320627,1
36,41881,77.433565,34.76511294,2016,"Frame Siding, Plywood",24566,94760,Residential,1959,1,Single Family,"Frame Siding, Plywood",Building New,A10,1102.860751,15513.36438,132.602212288809,24566,0.8657825723965895,0.5325203219271829,0.21583773232095643,0.19926823121038229,2
37,25394,77.22506295,34.66601553,2016,Aluminum/Vinyl,45471,151870,Residential,1994,1,Single Family,Aluminum/Vinyl,Building New,A58,154.2431453,15500.06217,146.4893956878208,45471,0.9669408853907812,0.7604829810067694,0.5454779576148728,0.49545057731345654,1
38,42092,77.44071701,34.76631048,2016,Brick Frame,7493,230850,Residential,1970,2,Single Family,Brick Frame,Building New,A26,112.5226945,23252.8447,132.2710169806124,7493,0.963611949683001,0.8275029994499021,0.5851028599962441,0.47425536405949037,4
