x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES
77.50012725,34.69300403,0,42404,27853,91234,Building Existing,194.8357524,2012.217208,2006,57849,1,1,2021,102230,1,Residential,1999,NONE,1,1266,Single Family,Aluminum/Vinyl, A50,A50,Single Family
77.12098033,34.68766958,0,42405,27854,91235,Building Existing,183.3130431,1989.39605,2006,18312,1,1,2021,84970,3,Residential,1906,NONE,2,2096,Single Family,"Frame Siding, Plywood", A30,A30,Single Family
77.12524745,34.68772886,0,42407,27855,91238,Building Existing,242.142621,2581.39198,2006,1918,1,1,2021,80150,1,Residential,1958,NONE,1,1848,Single Family,Brick Veneer, A6,A6,Single Family
77.19143075,34.68876951,0,42409,27856,91242,Building Existing,187.2643868,1820.866892,2006,38532,1,2,2021,29830,19,Building Site,1986,NONE,1,1728,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.50419794,34.69307778,0,42410,27857,91243,Building Existing,190.5583201,1804.48056,2006,65909,1,1,2021,165000,1,Residential,2005,NONE,2,2208,Single Family,Aluminum/Vinyl,A18,A18,Single Family
77.23647766,34.68946716,0,42412,27858,91245,Building Existing,199.004175,2295.0256,2006,56288,1,1,2021,130680,1,Residential,1997,NONE,1,1563,Single Family,Aluminum/Vinyl, A86,A86,Single Family
77.12603895,34.68780249,0,42414,27859,91248,Building Existing,144.9638707,1213.677397,2006,26333,1,1,2021,43070,1,Residential,1953,NONE,1,1050,Single Family,Asbestos Shingle, A66,A66,Single Family
77.12399589,34.68776314,0,42416,27860,91251,Building Existing,194.7865759,1844.409552,2006,6784,1,1,2021,54710,1,Residential,1944,NONE,1,1290,Single Family,Aluminum/Vinyl, A14,A14,Single Family
77.14044181,34.68802428,0,42418,27861,91254,Building Existing,196.7550905,2005.906169,2006,53042,1,1,2021,163840,1,Residential,2006,NONE,2,2127,Single Family,Aluminum/Vinyl,A18,A18,Single Family
77.12685081,34.68781952,0,42419,27862,91257,Building Existing,206.3510663,2008.262685,2006,7569,1,1,2021,93730,6,Waterfront River/Creek,1958,NONE,1,1734,Single Family,Brick Veneer, A54,A54,Single Family
77.23674651,34.68948892,0,42420,27863,91258,Building Existing,197.7359594,2006.11097,2006,56289,1,1,2021,110010,1,Residential,1996,NONE,1,1293,Single Family,Aluminum/Vinyl, A102,A102,Single Family
77.23766522,34.68950768,0,42421,27864,91259,Building Existing,229.3151992,2495.403958,2006,56292,1,1,2021,141760,1,Residential,1997,NONE,1,1996,Single Family,Aluminum/Vinyl, A86,A86,Single Family
77.49711779,34.69299981,0,42422,27865,91261,Building Existing,414.0528512,5425.980184,2006,25545,1,1,2021,258770,21,Building Site Off-Road,1974,NONE,1,3509,Single Family,Brick Veneer, A6,A6,Single Family
77.23822843,34.68953007,0,42423,27866,91264,Building Existing,201.0714151,2129.679719,2006,"56293.0, 56294.0",2,2,2021,238530,1,Residential,1998,NONE,1,3158,Single Family,Aluminum/Vinyl, A86,A86,Single Family
77.23699119,34.68952873,0,42426,27867,91268,Building Existing,240.2605687,2484.042953,2006,56290,1,1,2021,136950,1,Residential,1997,NONE,1,1764,Single Family,Aluminum/Vinyl, A10,A10,Single Family
77.12146854,34.68779063,0,42427,27868,91270,Building Existing,127.4322633,992.1045828,2006,41804,1,1,2021,43020,4,Residential,1960,NONE,1,736,Single Family,"Frame Siding, Plywood", A78,A78,Single Family
77.20372489,34.68903246,0,42428,27869,91271,Building Existing,159.5644583,1416.703225,2006,4090,1,1,2021,3430,1,Residential,1971,NONE,1,1300,Single Family,Siding on Sheathing, A6,A6,Single Family
77.50107818,34.69308784,0,42429,27870,91272,Building Existing,224.5271506,2576.244517,2006,56931,1,1,2021,118200,1,Residential,1998,NONE,1,1583,Single Family,Aluminum/Vinyl, A86,A86,Single Family
77.23876442,34.68955405,0,42430,27871,91274,Building Existing,194.7821108,1831.689093,2006,55194,1,1,2021,103140,1,Residential,1996,NONE,1,1238,Single Family,Aluminum/Vinyl, A110,A110,Single Family
