,x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES,mph,DS1,DS2,DS3,DS4,dmg_state,kmh,Dislocation
1884,77.21392519,34.68747289,0,42027,27568.0,90716,Building Existing,186.9233707,1942.492113,2006,38860,1,1,2021.0,80310,1.0,Residential,1988.0,NONE,1,1274,Single Family,Aluminum/Vinyl, A74,A74,Single Family,125.06004581577969,0.6465809122032682,0.12318956675106302,0.008774594409718024,0.0009809624060919517,1,201.3466737634053,0
1885,77.5537988,34.69206003,0,42028,27569.0,90717,Building Existing,220.0081905,1962.009519,2006,19660,1,1,2021.0,35590,19.0,Building Site,1960.0,NONE,1,1173,Single Family,Asbestos Shingle, A106,A106,Single Family,115.00120294618829,0.4274368911660727,0.0355999939084057,0.0010569089178169757,5.7107491219555226e-05,0,185.15193674336317,0
1886,77.17536067,34.68693962,0,42029,27570.0,90718,Building Existing,180.1288149,1886.578433,2006,9041,1,1,2021.0,161440,7.0,Waterfront River/Creek,1989.0,PART,2,2634,Single Family,Cedar/Redwood/Cypress, A22,A22,Single Family,126.12702090136852,0.8848257178042387,0.4899216131017533,0.16042519354113105,0.02060926720841713,1,203.06450365120332,0
1887,77.13837369,34.68634817,0,42030,27571.0,90719,Building Existing,163.6346724,1435.85981,2006,49065,1,1,2021.0,95530,2.0,Residential,1992.0,NONE,2,1384,Single Family,Aluminum/Vinyl, A26,A26,Single Family,127.0312270085189,0.9339044886232474,0.72824378729397,0.4394004449632161,0.3440588711092303,2,204.52027548371544,0
1888,77.19079693,34.68714476,0,42031,27572.0,90720,Building Existing,210.6668712,2194.880203,2006,39041,1,2,2021.0,89220,20.0,Building Site,1989.0,NONE,1,1728,Duplex,Siding on Sheathing, A6,A6,Duplex,125.71588791652972,0.618089621966309,0.14697537474432787,0.009577370588164357,0.0003386240043064275,1,202.40257954561287,0
1889,77.19670946,34.68720618,0,42032,27573.0,90721,Building Existing,227.6229221,2389.248505,2006,60553,1,2,2021.0,69600,19.0,Building Site,2000.0,NONE,1,2052,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,125.55391703530704,0.18026603188773593,0.019364026594369785,0.0025827026693557432,0.0019187842725203264,1,202.14180642684434,0
1890,77.20719692,34.68740877,0,42033,27574.0,90723,Building Existing,159.3372521,1425.395107,2006,15362,1,1,2021.0,67800,1.0,Residential,1970.0,NONE,1,1330,Single Family,Aluminum/Vinyl, A62,A62,Single Family,125.25367135414655,0.6720258675154576,0.18836285438732386,0.03373245116962767,0.027187422330498284,1,201.65841088017595,0
1891,77.12586544,34.68614033,0,42034,27575.0,90725,Building Existing,246.9322576,2465.588631,2006,6787,1,1,2021.0,113820,6.0,Waterfront River/Creek,1984.0,NONE,1,1327,Single Family,Brick Veneer, A54,A54,Single Family,127.37162697136176,0.7295272437108045,0.21856249477218853,0.017324506557086693,0.0003156005521791136,1,205.06831942389246,0
1892,77.12242224,34.68610051,0,42035,27576.0,90726,Building Existing,190.4657091,2267.258867,2006,24637,1,1,2021.0,120210,16.0,Waterview,1980.0,NONE,1,1404,Single Family,Cedar Shake, A58,A58,Single Family,127.48521969302212,0.800973239978382,0.3263258909885256,0.12528599842574623,0.12113286241874166,0,205.25120370576562,0
1893,77.20567728,34.68740873,0,42037,27577.0,90728,Building Existing,159.9332261,1463.511486,2006,22268,1,1,2021.0,48980,1.0,Residential,1970.0,NONE,1,1300,Single Family,Aluminum/Vinyl, A58,A58,Single Family,125.29601770131072,0.764661727343986,0.27611361996919204,0.095703521246846,0.09447578267140305,1,201.72658849911028,0
1894,77.21531073,34.68755522,0,42039,27578.0,90730,Building Existing,202.7912874,2021.308159,2006,53894,1,1,2021.0,102370,1.0,Residential,1994.0,NONE,1,1509,Single Family,Aluminum/Vinyl, A50,A50,Single Family,125.01560385299797,0.7524053751522186,0.23420928087882276,0.016639742855424303,0.0008316833079369639,1,201.27512220332673,0
1895,77.48672662,34.69124949,0,42040,27579.0,90731,Building Existing,329.3054795,3699.678406,2006,62320,1,2,2021.0,94450,19.0,Building Site,2001.0,NONE,1,2254,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,116.865062032652,0.07684702373846998,0.003852937380547345,0.0004067062626774431,0.00033268317395734724,1,188.15274987256973,0
1896,77.21659697,34.68760743,0,42044,27580.0,90737,Building Existing,177.4022714,1647.094813,2006,54496,1,1,2021.0,77190,1.0,Residential,1996.0,NONE,1,1125,Single Family,"Frame Siding, Plywood", A70,A70,Single Family,124.97564036607451,0.5108644918294386,0.05863342629935655,0.0017553949323480937,4.484496518528993e-05,0,201.21078098937997,0
1897,77.50302539,34.6915127,0,42045,27581.0,90739,Building Existing,182.7138755,1723.294927,2006,65902,1,1,2021.0,160220,1.0,Residential,2005.0,NONE,2,2089,Single Family,Aluminum/Vinyl, A26,A26,Single Family,116.37552053143169,0.810496336445231,0.45122012767865566,0.17132285458497237,0.12892231890709738,0,187.36458805560503,0
1898,77.49947429,34.69147452,0,42046,27582.0,90742,Building Existing,193.6462043,2048.511166,2006,56925,1,1,2021.0,95660,1.0,Residential,1997.0,NONE,1,1256,Single Family,Aluminum/Vinyl,A2,A2,Single Family,116.46591005111983,0.5122990419627604,0.09997366903936938,0.0043545459603490325,0.00015670748212609622,1,187.51011518230294,0
1899,77.21254609,34.68755815,0,42047,27583.0,90743,Building Existing,182.263461,1738.767146,2006,45518,1,1,2021.0,73250,1.0,Residential,1992.0,NONE,1,1077,Single Family,"Frame Siding, Plywood", A74,A74,Single Family,125.09420789953789,0.6472574929308599,0.12361819114151518,0.008828847974010904,0.0009892082688374643,1,201.40167471825603,0
1900,77.14178657,34.68650298,0,42048,27584.0,90744,Building Existing,159.1785741,1579.184956,2006,59745,1,1,2021.0,133620,53.0,Building Site,2001.0,NONE,2,1870,Single Family,Aluminum/Vinyl, A30,A30,Single Family,126.94708962125034,0.8932031244867624,0.5225098133284486,0.23556230951145757,0.16730972070405342,0,204.38481429021306,0
1901,77.12920151,34.68635328,0,42049,27585.0,90746,Building Existing,97.32398076,528.5070265,2006,"11625.0, 22250.0",2,2,2021.0,385040,6.0,Waterfront River/Creek,1953.0,NONE,1,5167,Single Family,Concrete Block, A90,A90,Single Family,127.25181011994776,0.7398295959809655,0.24273501836980022,0.10804701874106837,0.08581480488452242,0,204.8754142931159,0
1902,77.50193126,34.69151886,0,42050,27586.0,90747,Building Existing,191.7269388,1856.969636,2006,65899,1,1,2021.0,177030,1.0,Residential,2005.0,NONE,2,2403,Single Family,Aluminum/Vinyl, A22,A22,Single Family,116.40225277437438,0.7344525956828762,0.24386862671999743,0.04252165327107687,0.0027963001431364535,0,187.40762696674275,0
1903,77.48494665,34.69129375,0,42051,27587.0,90749,Building Existing,202.3754501,1862.354094,2006,17541,1,2,2021.0,59960,19.0,Building Site,1997.0,NONE,1,1748,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,116.92517345632201,0.07737808200379938,0.003902311276809587,0.00041255016856584257,0.0003371842481673214,0,188.24952926467844,0
1904,77.21312823,34.68760237,0,42056,27588.0,90757,Building Existing,194.6088522,1931.655888,2006,45526,1,1,2021.0,81240,1.0,Residential,1992.0,NONE,1,1125,Single Family,Hard Board (Hardy board or pla, A86,A86,Single Family,125.07505074736967,0.6128089835330406,0.10930040408553754,0.00815233706498246,6.932468076996671e-05,1,201.3708317032652,0
1905,77.19288296,34.68732606,0,42058,27589.0,90760,Building Existing,175.5647301,1601.466437,2006,38550,1,2,2021.0,22720,19.0,Building Site,1986.0,NONE,1,1352,Multi-Section MH,HARD BOARD (HARDY BOARD) OR PL,B3,B3,Multi-Section MH,125.64960756385241,0.1816988480376937,0.01966507382418688,0.0026299284861343135,0.0019522742412532354,0,202.2958681778024,0
1906,77.13673474,34.6864806,0,42059,27590.0,90764,Building Existing,207.8874237,1193.542278,2006,"9809.0, 27908.0",2,2,2021.0,51750,2.0,Residential,1967.0,NONE,1,2714,Singlewide M/H,MODULAR METAL,B3,B3,Singlewide M/H,127.05903707837078,0.20348615182185076,0.02454782129648355,0.003416579692044977,0.002507290295492725,0,204.56504969617697,0
1907,77.21478374,34.68765277,0,42060,27591.0,90767,Building Existing,200.7476289,2027.550835,2006,53501,1,1,2021.0,88640,1.0,Residential,1994.0,NONE,1,1281,Single Family,Aluminum/Vinyl, A50,A50,Single Family,125.02488574865492,0.7525729991247019,0.23439909448716983,0.0166677015580118,0.0008336038616326319,1,201.29006605533445,0
1908,77.19417675,34.68737349,0,42061,27592.0,90768,Building Existing,135.3371451,1064.632911,2006,38586,1,2,2021.0,17070,19.0,Building Site,1986.0,NONE,1,960,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,125.61217114319733,0.18113757975688488,0.019546854388008423,0.0026113647913990276,0.0019391124897742995,0,202.2355955405477,0
1909,77.13782165,34.68650333,0,42062,27593.0,90769,Building Existing,149.4017829,1320.452309,2006,23692,1,2,2021.0,51750,2.0,Residential,1999.0,NONE,1,1186,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,127.03409079318693,0.20308964034255894,0.024453792448656874,0.00340107703076048,0.002496398095071165,1,204.52488617703096,0
1910,77.19224191,34.68733831,0,42063,27594.0,90770,Building Existing,148.7435909,1242.136647,2006,38545,1,2,2021.0,21130,19.0,Building Site,1988.0,NONE,1,1152,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH,125.6659793541494,0.18194459227127863,0.019716953201527904,0.002638082460948723,0.001958054392619504,1,202.32222676018054,0
1911,77.21727159,34.68770985,0,42068,27595.0,90775,Building Existing,176.4216498,1663.0903,2006,54753,1,1,2021.0,77350,1.0,Residential,1996.0,NONE,1,1125,Single Family,"Frame Siding, Plywood", A66,A66,Single Family,124.95017739050775,0.6630880488201296,0.10185761604476767,0.0010418564951703744,1.1642187666488221e-05,1,201.16978559871748,0
